Name                                         Stars  OpenIssues  Updated                      Description
mfussenegger/nvim-lint                       639    11          2023-07-13T06:13:35Z         An asynchronous linter plugin for Neovim complementary to the built-in Language Server Protocol support.                                                                                                                           
bluz71/vim-nightfly-colors                   637    0           2023-07-13T04:40:42Z         A dark midnight theme for modern Neovim & classic Vim
bluz71/vim-moonfly-colors                    633    1           2023-07-13T04:40:20Z         A dark charcoal theme for modern Neovim & classic Vim
numToStr/FTerm.nvim                          620    16          2022-11-13T09:25:46Z         :fire: No-nonsense floating terminal plugin for neovim :fire:                                                                                                                                                                      
akinsho/flutter-tools.nvim                   610    25          2023-07-06T08:59:43Z         Tools to help create flutter apps in neovim using the native lsp
sakhnik/nvim-gdb                             594    9           2023-07-13T08:05:33Z         Neovim thin wrapper for GDB, LLDB, PDB/PDB++ and BashDB
kevinhwang91/nvim-hlslens                    589    7           2023-02-01T10:07:41Z         Hlsearch Lens for Neovim
monaqa/dial.nvim                             588    7           2023-07-10T13:21:06Z         enhanced increment/decrement plugin for Neovim.                                                                                                                                                                                    
f-person/git-blame.nvim                      587    6           2023-06-27T08:39:10Z         Git Blame plugin for Neovim written in Lua
andweeb/presence.nvim                        586    49          2023-01-29T09:21:17Z         Discord Rich Presence for Neovim
savq/paq-nvim                                584    23          2023-06-10T00:03:15Z         🌚  Neovim package manager
jamestthompson3/nvim-remote-containers       583    8           2022-11-03T09:38:24Z         Develop inside docker containers, just like VSCode
nvim-lua/lsp-status.nvim                     581    20          2022-08-03T00:18:41Z         Utility functions for getting diagnostic status and progress messages from LSP servers, for use in the Neovim statusline
embark-theme/vim                             563    0           2023-04-21T04:25:15Z         An ambitious theme for vim
Olical/aniseed                               558    8           2023-07-06T16:16:22Z         Neovim configuration and plugins in Fennel (Lisp compiled to Lua)                                                                                                                                                                  
Wansmer/treesj                               555    5           2023-06-29T04:56:14Z         Neovim plugin for splitting/joining blocks of code
akinsho/git-conflict.nvim                    553    6           2023-05-23T07:39:01Z         A plugin to visualise and resolve merge conflicts in neovim
abecodes/tabout.nvim                         549    2           2023-03-29T06:54:30Z         tabout plugin for neovim
rmagatti/goto-preview                        545    8           2023-03-17T07:06:01Z         A small Neovim plugin for previewing definitions using floating windows.                                                                                                                                                           
weilbith/nvim-code-action-menu               542    20          2022-12-20T07:59:48Z         Pop-up menu for code actions to show meta-information and diff preview
olimorris/onedarkpro.nvim                    540    2           2023-07-05T18:08:17Z         🎨 Atom's iconic One Dark theme, for Neovim. Fully customisable, with Treesitter and LSP semantic token support
chentoast/marks.nvim                         535    34          2023-02-25T17:34:06Z         A better user experience for viewing and interacting with Vim marks.                                                                                                                                                               
Saecki/crates.nvim                           532    7           2023-07-02T10:59:30Z         A neovim plugin that helps managing crates.io dependencies
tversteeg/registers.nvim                     529    6           2023-04-04T07:58:31Z         📑 Neovim plugin to preview the contents of the registers
b3nj5m1n/kommentary                          526    5           2023-01-06T05:30:49Z         Neovim commenting plugin, written in lua.                                                                                                                                                                                          
noib3/nvim-compleet                          522    4           2022-12-01T22:36:48Z         :zap: An async autocompletion framework for Neovim
sudormrfbin/cheatsheet.nvim                  522    23          2021-12-23T10:30:56Z         A cheatsheet plugin for neovim with bundled cheatsheets for the editor, multiple vim plugins, nerd-fonts, regex, etc. with a Telescope fuzzy finder interface!                                                                     
bennypowers/nvim-regexplainer                519    4           2023-03-27T06:15:47Z         Describe the regexp under the cursor
beauwilliams/focus.nvim                      519    14          2022-10-12T00:33:59Z         Auto-Focusing and Auto-Resizing Splits/Windows for Neovim written in Lua. A full suite of window management enhancements. Vim splits on steroids!                                                                                  
tanvirtin/vgit.nvim                          500    6           2023-03-15T13:59:01Z         Visual git plugin for Neovim
tjdevries/colorbuddy.nvim                    497    16          2022-02-28T02:25:16Z         Your color buddy for making cool neovim color schemes
crivotz/nv-ide                               493    3           2023-06-27T12:52:29Z         Neovim custom configuration, oriented for full stack developers (rails, ruby, php, html, css, SCSS, javascript)                                                                                                                    
hackorum/VapourNvim                          490    17          2022-05-31T03:48:04Z         A NeoVim config for THE ULTIMATE vim IDE-like experience.                                                                                                                                                                          
xiyaowong/nvim-transparent                   488    4           2023-07-06T09:05:26Z         Remove all background colors to make nvim transparent
